id,name,address,address_raw,primary_address,addresses_json,description,architects,source_url,image_full_url,image_thumb_url,built_year
hotel-milinov-danas-hotel-dubrovnik-gajeva-1-1,"Hotel Milinov, danas Hotel Dubrovnik","Gajeva 1 / Trg bana Jelačića 16, 10000 Zagreb, Croatia",Gajeva 1 / Trg bana Jelačića 16,"Trg bana Jelačića 16, 10000 Zagreb, Croatia","[{""raw"":""Gajeva 1"",""normalized"":""Gajeva 1, 10000 Zagreb, Croatia"",""street"":""Gajeva"",""house_number"":""1""},{""raw"":""Trg bana Jelačića 16"",""normalized"":""Trg bana Jelačića 16, 10000 Zagreb, Croatia"",""street"":""Trg bana Jelačića"",""house_number"":""16""}]","Hotel Milinov, danas Hotel Dubrovnik, na uglu Gajeva 1 /Trg bana Jelačića 16 sagrađen je 1928./1929. prema projektu Dionisa Sunka (Sunko & Jungmann). Hotel Milinov je dobio naziv po prvom vlasniku - trgovcu Svetozaru Milinovu, a od 1940. vlasnik je postala Dubrovačka plovidba koja mu je dala današnji naziv. Zgrada hotela u donjem dijelu dizajnirana je u stilu art décoa, dok je gornji dio u duhu ekspresionizma. Na pročelju središnjeg dijela zgrade, prema Trgu, iznad prozora trećeg kata, postavljen je brončani kip Merkura (u rimskoj mitologiji bog trgovine i putovanja), koji je premješten sa srušene kuće trgovca Pavla Hatza, koju je na tome mjestu sagradio Bartol Felbinger. U toj kući nalazila se je poznata Velika kavana.",Dionis Sunko,https://www.arhitektura-zagreba.com/zgrade/gajeva-1-trg-bana-jelacica-16?ulica=trg-bana-jelacica,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Gajeva_1_-Trg_bana_Jela%C4%8Di%C4%87a__1.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/gajeva_1_-trg_bana_jelacica__1.jpg,Unknown
kuca-baumgartner-wasserthal-bakaceva,Kuća Baumgärtner-Wasserthal,"Bakačeva / Trg bana Jelačića 8, 10000 Zagreb, Croatia",Bakačeva / Trg bana Jelačića 8,"Trg bana Jelačića 8, 10000 Zagreb, Croatia","[{""raw"":""Bakačeva"",""normalized"":""Bakačeva, 10000 Zagreb, Croatia"",""street"":""Bakačeva"",""house_number"":""""},{""raw"":""Trg bana Jelačića 8"",""normalized"":""Trg bana Jelačića 8, 10000 Zagreb, Croatia"",""street"":""Trg bana Jelačića"",""house_number"":""8""}]","Kuća Baumgärtner-Wasserthal na Trgu bana Jelačića 8 /Bakačeva sagrađena je 1881./1882. za veletrgovca Leopolda Baumgärtnera i njegovog partnera Salomona Wasserthala, prema projektu Janka Jambrišaka. Jambrišak je nacrte izradio na temelju idejnog projekta Ruperta Melkusa (upravitelj Gradskoga građevnog ureda) iz 1875. godine. Melkusov projekt je planirao veliku komercijalnu zgradu u stilu francuske neorenesanse uzduž cijele sjeverne strane trga, no tomu se usprotivio Izidor Kršnjavi pa je na kraju umjesto jedne sagrađeno više kuća. Zgrada je dugi niz godina bila u vlasništvu Varteksa, a 2014. kupio ju je njemački lanac drogerija Müller. (Josip Bilić, Hrvoje Ivanković, 2006:430-I)",Rupert Melkus,https://www.arhitektura-zagreba.com/zgrade/bakaceva?ulica=trg-bana-jelacica,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Trg%20bana%20Jela%C4%8Di%C4%87a%208%20%201_f1af.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/trg%20bana%20jelacica%208%20%201_f1af.jpg,Unknown
kuca-demeter-trg-bana-jelacica-2-2,Kuća Demeter,"Trg bana Jelačića 2, 10000 Zagreb, Croatia",Trg bana Jelačića 2,"Trg bana Jelačića 2, 10000 Zagreb, Croatia","[{""raw"":""Trg bana Jelačića 2"",""normalized"":""Trg bana Jelačića 2, 10000 Zagreb, Croatia"",""street"":""Trg bana Jelačića"",""house_number"":""2""}]","Kuću Demeter na Trgu bana Jelačića 2 podigao je oko 1829. godine Bartol Felbinger, prostorno i stilski u oblicima klasicizma bidermajera. Pročelje je preoblikovano 1890-ih. Na tome mjestu nalazio se na početku XIX. st. tridesetnički ured i staja trgovca Nauma Demetra, oca Dimitrija Demetra, hrvatskog književnika, kritičara, prevoditelja i kazališnog djelatnika. (Josip Bilić, Hrvoje Ivanković, 2006:430-I)",Bartol Felbinger,https://www.arhitektura-zagreba.com/zgrade/trg-bana-jelacica-2?ulica=trg-bana-jelacica,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Trg%20bana%20Jela%C4%8Di%C4%87a%202%20%202_67fb.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/trg%20bana%20jelacica%202%20%202_67fb.jpg,Unknown
kuca-felbinger-trg-bana-jelacica-15-15,Kuća Felbinger,"Trg bana Jelačića 15, 10000 Zagreb, Croatia",Trg bana Jelačića 15,"Trg bana Jelačića 15, 10000 Zagreb, Croatia","[{""raw"":""Trg bana Jelačića 15"",""normalized"":""Trg bana Jelačića 15, 10000 Zagreb, Croatia"",""street"":""Trg bana Jelačića"",""house_number"":""15""}]","Ugrađena trokrilna dvokatnica na Trgu bana Jelačića 15, tlocrtnog ""U"" oblika, vlastita kuća graditelja Bartola Felbingera, sagrađena je 1826./1829. Prizemlje rastvoreno s pravokutnim dućanskim otvorima i slijepom arkadurom rekonstruirano je iza 1960. Dvorišni objekti prigrađeni u 19. i 20. st. odudaraju od karakteristika i kvalitete glavne Felbingerove zgrade. Vlastita kuća Bartola Felbingera značajna je u graditeljevu opusu i graditeljstvu Zagreba prve polovine 19. st. u cjelini. (Galerija nepokretnih kulturnih dobara grada Zagreba)",Bartol Felbinger,https://www.arhitektura-zagreba.com/zgrade/trg-bana-jelacica-15?ulica=trg-bana-jelacica,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Trg%20bana%20Jela%C4%8Di%C4%87a%2015%20%201_6079.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/trg%20bana%20jelacica%2015%20%201_6079.jpg,Unknown
kuca-feller-stern-jurisiceva-1-1a-1,Kuća Feller-Stern,"Jurišićeva 1 - 1A / Trg bana Jelačića 11, 10000 Zagreb, Croatia",Jurišićeva 1 - 1A / Trg bana Jelačića 11,"Trg bana Jelačića 11, 10000 Zagreb, Croatia","[{""raw"":""Jurišićeva 1"",""normalized"":""Jurišićeva 1, 10000 Zagreb, Croatia"",""street"":""Jurišićeva"",""house_number"":""1""},{""raw"":""Jurišićeva 1A"",""normalized"":""Jurišićeva 1A, 10000 Zagreb, Croatia"",""street"":""Jurišićeva"",""house_number"":""1A""},{""raw"":""Trg bana Jelačića 11"",""normalized"":""Trg bana Jelačića 11, 10000 Zagreb, Croatia"",""street"":""Trg bana Jelačića"",""house_number"":""11""}]",Stambeno-poslovna peterokatnica Stern na uglu Trg bana Jelačića 11 /Jurišićeva 1-1A nastala je 1928. godine nadogradnjom četverokatnice (tada kuća Feller) sagrađene 1904./1905. prema projektu Vjekoslava Bastla (Hönigsberg & Deutsch). Prvotna pročelja s bogatom secesijskom ornamentikom preoblikovana su i modernizirana 1927./1928. prema skici berlinskog arhitekta Petera Behrensa. Kuća Feller-Stern prvo je djelo internacionalnog stila u Zagrebu i kao autorsko djelo istaknutog pionira moderne 20. stoljeća zauzima značajno mjesto u topografiji međuratne europske arhitekture. Izvor: Galerija nepokretnih kulturnih dobara Grada Zagreba,Peter Behrens; Vjekoslav Bastl,https://www.arhitektura-zagreba.com/zgrade/jurisiceva-1?ulica=trg-bana-jelacica,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Juri%C5%A1i%C4%87eva%201-1A%20%201_2f79.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/jurisiceva%201-1a%20%201_2f79.jpg,Unknown
kuca-gavella-trg-bana-jelacica-6-6,Kuća Gavella,"Trg bana Jelačića 6, 10000 Zagreb, Croatia",Trg bana Jelačića 6,"Trg bana Jelačića 6, 10000 Zagreb, Croatia","[{""raw"":""Trg bana Jelačića 6"",""normalized"":""Trg bana Jelačića 6, 10000 Zagreb, Croatia"",""street"":""Trg bana Jelačića"",""house_number"":""6""}]","Kuća Gavella na Trgu bana Jelačića 6 sagrađena je 1889. godine prema projektu arhitekta Kune Waidmanna. Originalno pročelje dvokatnice s polukatom i mansardnim sobama imalo je u srednjoj osi otvor veže uokviren baroknim dovratnikom. Srednja os je bila zaključena zabatom nad balustradom vijenca s grbom i inicijalima imena vlasnika. U prvom katu je ostao sačuvan balkon s polukružnom ogradom. Erkeri na bočnim rizalitima bili su zaobljeni i barokno ukrašeni, te zaključeni visokim volutasto lomljenim zabatima s jarbolima. Prozori prvog kata bili su bogato ukrašeni u zonama natprozornika medaljonima sa svitkovljem i putima. Profilirani doprozornici bili su zaključeni polukružnim lukovima. Za razliku od prvog kata, prozori su drugog kata bili pravokutni, a ispod ispod prozorskih klupica vegetabilni ukrasni motivi ispunjavali su parapetne zone. Kasetni friz završnog vijenca bio je ispunjen školjkama, a ispod vijenca tekao je niz gustih zubaca. Nadogradnja trećeg kata i purifikacija pročelja izvedene su 1933. prema projektu arhitekta Aleksandra Freudenreicha. Veći dio izvornog izgleda vraćen je 1987. prilikom restauracije pročelja kuće. (Cvitanović, 1969:91)",Kuno Waidmann,https://www.arhitektura-zagreba.com/zgrade/trg-bana-jelacica-6?ulica=trg-bana-jelacica,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Trg%20bana%20Jela%C4%8Di%C4%87a%206%20%201_454c.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/trg%20bana%20jelacica%206%20%201_454c.jpg,Unknown
kuca-kolmar-trg-bana-jelacica-7-7,Kuća Kolmar,"Trg bana Jelačića 7, 10000 Zagreb, Croatia",Trg bana Jelačića 7,"Trg bana Jelačića 7, 10000 Zagreb, Croatia","[{""raw"":""Trg bana Jelačića 7"",""normalized"":""Trg bana Jelačića 7, 10000 Zagreb, Croatia"",""street"":""Trg bana Jelačića"",""house_number"":""7""}]","Stambeno-trgovačka najamna zgrada, Trg bana Josipa Jelačića 7 /Pod zidom 8, građena je 1904./1905. godine za trgovca Roberta Kolmara prema projektu atelijera Hönigsberg i Deutsch. Tek što je sagrađena kuću su kupili industrijalac Žiga Stern, vlasnik kožare i veletrgovac drvom Filip Deutsch. Vlasnički stan zauzima cijeli prvi kat zgrade s glavnim prostorima prema Trgu i servisnim dijelom sa zasebnim ulazom s ulice Pod zidom. Prostorije vlasničkog stana od sredine 20. stoljeća koristi Društvo hrvatskih književnika. Pročelje je oblikovano u duhu slobodnog stila kasnog historicizma, a interijer zgrade očuvan je unatoč kasnijim zahvatima. Zgrada je vrijedan primjer stambene palače u opusu atelijera Hönigsberg i Deutsch i odlikuje se kvalitetno izvedenim obrtničkim detaljima i korištenjem suvremenih konstruktivnih rješenja. (Galerija nepokretnih kulturnih dobara grada Zagreba)",Hönigsberg; Deutsch,https://www.arhitektura-zagreba.com/zgrade/trg-bana-jelacica-7?ulica=trg-bana-jelacica,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Trg%20bana%20Jela%C4%8Di%C4%87a%207%20%201_f578.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/trg%20bana%20jelacica%207%20%201_f578.jpg,Unknown
kuca-popovic-trg-bana-jelacica-4-4,Kuća Popović,"Trg bana Jelačića 4, 10000 Zagreb, Croatia",Trg bana Jelačića 4,"Trg bana Jelačića 4, 10000 Zagreb, Croatia","[{""raw"":""Trg bana Jelačića 4"",""normalized"":""Trg bana Jelačića 4, 10000 Zagreb, Croatia"",""street"":""Trg bana Jelačića"",""house_number"":""4""}]","Reprezentativna trokatna stambeno-poslovna palača Popović na uglu Jelačićev trg 4 /Splavnice /Pod zidom sagrađena je 1906./1907. prema projektu Aladara Baranyaija. Građena za zagrebačkog trgovca i kućevlasnika Fedora Popovića prva je velika narudžba atelijera Benedik i Baranyai i ujedno prvo u nizu Baranyaijevih uspjelih projektantskih rješenja donjogradskih blokova uglovnicama, kojima je zajedničko neutraliziranje masivnosti zaobljenim formama. Secesijsko pročelje je velik dio prvobitnog izgleda izgubilo purifikacijom iz 1915. god., kada su uklonjene kamene oplate i dio dekoracije, a prigradnjama 1932. god. odnosno pregradnjom 1940. god. znatno je preoblikovan i unutrašnji prostor. Visoki zaobljeni ugao s velikom zastakljenom plohom dodatno je istaknut balkonskim rešetkama od kovanog željeza i reljefnim figuralnim frizom izvedenim u poznatoj zagrebačkoj tvornici keramike Josipa Kalline po predlošku Ivana Meštrovića. Baranyaijevu plodnu suradnju s umjetnicima, koja se u najrazličitijim iskazima očituje tijekom cijeloga mu opusa, ovdje sjajno ilustrira stan i atelijer u kojem se neposredno po povratku iz Beča u Zagreb nastanio Tomislav Krizman, slikar i grafičar koji je u ovoj sredini značajan i kao pokretač umjetničkih zbivanja i začetnik modernog dizajna, a ta je »bohemska mansarda« gotovo puna tri desetljeća funkcionirala kao njihov “genius loci”. (Galjer, 1997:168, 175)",Aladár Baranyai; Slavko Benedik,https://www.arhitektura-zagreba.com/zgrade/trg-bana-jelacica-4?ulica=trg-bana-jelacica,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Trg%20bana%20Jela%C4%8Di%C4%87a%204%20%201_fa4b.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/trg%20bana%20jelacica%204%20%201_fa4b.jpg,Unknown
kuca-rado-trg-bana-jelacica-5-5,Kuća Rado,"Trg bana Jelačića 5, 10000 Zagreb, Croatia",Trg bana Jelačića 5,"Trg bana Jelačića 5, 10000 Zagreb, Croatia","[{""raw"":""Trg bana Jelačića 5"",""normalized"":""Trg bana Jelačića 5, 10000 Zagreb, Croatia"",""street"":""Trg bana Jelačića"",""house_number"":""5""}]","Kuća Rado na Trgu bana Jelačića 5 sagrađena je 1904./1905. prema projektu Vjekoslava Bastla (arhitektonski biro Hönigsberg & Deutsch). To je trgovačko-stambena zgrada protegnuta od glavnoga gradskog trga do ulice u zaleđu (Pod zidom), sa stanom i ordinacijom slavnoga zagrebačkog stomatologa dr. Eugena Rada u pianu nobile. Pojedine stambene jedinice s vremenom su pretvorene u poslovne prostore. Nosiva struktura zgrade je masivna s ojačanjima od kamenih blokova. Bogato raščlanjeno glavno pročelje, s atraktivnim ostakljenim verandama, te alegorijskim i animalnim ukrasnim skulpturama nad vijencem. U velikoj mjeri očuvan izvorni izgled ulaznog vestibula i stubišnog prostora. Suvremena kritika zgradu je ocijenila snažnim primjerom “visokog držanja stijega modernizma”. (Aleksander Laslo, 2011:58)",Vjekoslav Bastl,https://www.arhitektura-zagreba.com/zgrade/trg-bana-jelacica-5?ulica=trg-bana-jelacica,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Trg_bana_Jela%C4%8Di%C4%87a_5__11.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/trg_bana_jelacica_5__11.jpg,Unknown
kuca-stankovic-ilica-2-2,Kuća Stanković,"Ilica 2 / Trg bana Jelačića 1, 10000 Zagreb, Croatia",Ilica 2 / Trg bana Jelačića 1,"Trg bana Jelačića 1, 10000 Zagreb, Croatia","[{""raw"":""Ilica 2"",""normalized"":""Ilica 2, 10000 Zagreb, Croatia"",""street"":""Ilica"",""house_number"":""2""},{""raw"":""Trg bana Jelačića 1"",""normalized"":""Trg bana Jelačića 1, 10000 Zagreb, Croatia"",""street"":""Trg bana Jelačića"",""house_number"":""1""}]","Trgovačko-stambena trokatnica na uglu Ilica 2 /Trg bana Jelačića 1 nastala je nadogradnjom kasnobarokne jednokatnice za investitora trgovca Kristofora Stankovića. Drugi kat nadograđen je 1837., a treći 1880. prema projektu Hermanna Bolléa, kada su pročelja preoblikovana u neorenesansnom stilu. Prizemlje je pregrađeno 1931./1934. kada je uklonjen portal i baldahinski svodovi u prizemlju, te rastvoreni veliki izlozi pregrađeni u nekoliko navrata nakon II. svjetskog rata. Kuća Stanković prva je trokatnica na Trgu bana Jelačića. Izvor: Galerija nepokretnih kulturnih dobara Grada Zagreba",Antun Cragnolini,https://www.arhitektura-zagreba.com/zgrade/ilica-2?ulica=trg-bana-jelacica,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Trg%20bana%20Jela%C4%8Di%C4%87a%201%20-Ilica%202%20%201_0c6c.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/trg%20bana%20jelacica%201%20-ilica%202%20%201_0c6c.jpg,Unknown
kuca-zivkovic-trg-bana-jelacica-12-12,Kuća Živković,"Trg bana Jelačića 12, 10000 Zagreb, Croatia",Trg bana Jelačića 12,"Trg bana Jelačića 12, 10000 Zagreb, Croatia","[{""raw"":""Trg bana Jelačića 12"",""normalized"":""Trg bana Jelačića 12, 10000 Zagreb, Croatia"",""street"":""Trg bana Jelačića"",""house_number"":""12""}]","Kuća Živković na Trgu bana Jelačića 12 današnji izgled dobila je 1876. godine. Ivan Plochberger st. projektirao je i izveo nadogradnju i novu fasadu na staroj jednokatnici baruna Jovana Živkovića. Dva pobočna rizalita oivičena kvadrima, zabati nad prozorima prvoga kata, i blagi lukovi nad onima drugoga kata tipični su neorenesansni atributi, koji rese ovu skladnu trokatnicu. Od vremena gradnje do danas izmijenjeno je na toj gradnji jedino prizemlje. (Lelja Dobronić -2, 1983:94)",Ivan Plochberger st.,https://www.arhitektura-zagreba.com/zgrade/trg-bana-jelacica-12?ulica=trg-bana-jelacica,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Trg%20bana%20Jela%C4%8Di%C4%87a%2012%20%201.1_624c.jpg,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/trg%20bana%20jelacica%2012%20%201.1_624c.jpg,Unknown
palaca-prve-hrvatske-stedionice-praska-2-2,Palača Prve hrvatske štedionice,"Praška 2 / Trg bana Jelačića 14, 10000 Zagreb, Croatia",Praška 2 / Trg bana Jelačića 14,"Trg bana Jelačića 14, 10000 Zagreb, Croatia","[{""raw"":""Praška 2"",""normalized"":""Praška 2, 10000 Zagreb, Croatia"",""street"":""Praška"",""house_number"":""2""},{""raw"":""Trg bana Jelačića 14"",""normalized"":""Trg bana Jelačića 14, 10000 Zagreb, Croatia"",""street"":""Trg bana Jelačića"",""house_number"":""14""}]","Palača Prve hrvatske štedionice, kasnije “Singerova palača” na uglu Trg bana Jelačića 14 /Praška 2 sagrađena je 1870. prema projektu arhitektonskog biroa Grahor i Klein.［...］”Manirističko preobilje nakita, pa neki detalji (otvori u prizemlju, armatura krila balkonskih vratiju na rizalitima) još pripadaju Kleinovoj romantičnoj fazi. Motiv sažimanja katova proveden je polustupovima, pilastrima i hermama kroz sva tri kata, osobito naglašeno na rizalitu. Edo Šen izveo je za američku tvrtku Singer šivaći strojevi 1926./1927. potrebne adaptacije u unutrašnjosti, a s pročelja je uklonio sav figuralni ukras, ali je sačuvao glavnu misao povezivanja katova pilastrima kao osnovnim elementom. (Olga Maruševski, 1993:112)",Grahor; Klein,https://www.arhitektura-zagreba.com/zgrade/praska-2?ulica=trg-bana-jelacica,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Pra%C5%A1ka%202%20-Trg%20bana%20Jela%C4%8Di%C4%87a%2014%20%201.1_59fc.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/praska%202%20-trg%20bana%20jelacica%2014%20%201.1_59fc.jpg,Unknown
stambeno-poslovna-zgrada-gradske-stedionice-trg-bana-jelacica-10a-10-10a,Stambeno-poslovna zgrada Gradske štedionice,"Trg bana Jelačića 10A - 10, 10000 Zagreb, Croatia",Trg bana Jelačića 10A - 10,"Trg bana Jelačića 10A, 10000 Zagreb, Croatia","[{""raw"":""Trg bana Jelačića 10A"",""normalized"":""Trg bana Jelačića 10A, 10000 Zagreb, Croatia"",""street"":""Trg bana Jelačića"",""house_number"":""10A""},{""raw"":""Trg bana Jelačića 10"",""normalized"":""Trg bana Jelačića 10, 10000 Zagreb, Croatia"",""street"":""Trg bana Jelačića"",""house_number"":""10""}]","Palača Gradske štedionice, danas Zagrebačka banka na Trgu bana Jelačića 10-10A sagrađena je između 1923. i 1931. godine. Zrelo je ostvarenje poslovnice arhitekta Ignjata Fischera i značajan javni prostor međuratnog razdoblja u Zagrebu. Pored bankovnog prostora s obilježjima neoklasicizma i art decòa, značajni su interijeri Gradske kavane i Gradskog podruma kao omiljena okupljališta građana Zagreba. Kavana je uređena modernističkim i reduciranim arhitektonskim elementima s detaljima art decòa, a prostor restorana arhitekt Fischer uredio je nadahnut motivima narodne baštine. (Galerija nepokretnih kulturnih dobara grada Zagreba)",Ignjat Fischer,https://www.arhitektura-zagreba.com/zgrade/trg-bana-jelacica-10?ulica=trg-bana-jelacica,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Trg%20bana%20Jela%C4%8Di%C4%87a%209%20i%2010%20%201_cf24.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/trg%20bana%20jelacica%209%20i%2010%20%201_cf24.jpg,Unknown
zgrada-assicurazioni-generali-trg-bana-jelacica-3-3,Zgrada Assicurazioni Generali,"Trg bana Jelačića 3, 10000 Zagreb, Croatia",Trg bana Jelačića 3,"Trg bana Jelačića 3, 10000 Zagreb, Croatia","[{""raw"":""Trg bana Jelačića 3"",""normalized"":""Trg bana Jelačića 3, 10000 Zagreb, Croatia"",""street"":""Trg bana Jelačića"",""house_number"":""3""}]","Zgrada Assicurazioni Generali na Trgu bana Jelačića 3 /Tkalčićeva 1 sagrađena je 1938./1939. prema projektu Marcella Piacentinija. Nabusita, masivna i akontekstualna gradnja talijanskog fascio-racionalizma, trajno osporavana zbog svog formata i grubog zaklanjanja vidika na gornjogradsku akropolu, no ujedno izvrsne prostorne organizacije, posebice korisničke distribucije u parternoj zoni, s elegantnim detaljiranjem u skupocjenom materijalu. U prvom katu dviju glavnih fronti zgrade poslovne prostorije Udruženja hrvatskih arhitekata i Društva arhitekata Zagreba. (Aleksander Laslo, 2011:86)",Marcello Piacentini,https://www.arhitektura-zagreba.com/zgrade/trg-bana-jelacica-3?ulica=trg-bana-jelacica,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Trg%20bana%20Jela%C4%8Di%C4%87a%203%20%201_1e8a.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/trg%20bana%20jelacica%203%20%201_1e8a.jpg,Unknown
zgrada-jugoslavenske-banke-d-d-praska-1-1,Zgrada Jugoslavenske banke d.d.,"Praška 1 / Trg bana Jelačića 13, 10000 Zagreb, Croatia",Praška 1 / Trg bana Jelačića 13,"Trg bana Jelačića 13, 10000 Zagreb, Croatia","[{""raw"":""Praška 1"",""normalized"":""Praška 1, 10000 Zagreb, Croatia"",""street"":""Praška"",""house_number"":""1""},{""raw"":""Trg bana Jelačića 13"",""normalized"":""Trg bana Jelačića 13, 10000 Zagreb, Croatia"",""street"":""Trg bana Jelačića"",""house_number"":""13""}]","Zgrada Jugoslavenske banke d.d. (Hrvatske zemaljske banke), danas zgrada Croatia osiguranja na uglu Trg bana Jelačića 13 /Praška 1 nastala je spajanjem dvokatne kuće Prister na uglu Jelačićeva trga i Praške ulice (sagradio Janko Jambrišak 1881.) sa susjednom jednokatnom kućom u Praškoj ulici. Nadogradnja kuće u Praškoj i pregradnja obiju kuća izvedena je između 1920. i 1926. prema projektu Ignjata Fischera s kojim je na oblikovanju pročelja surađivao ruski arhitekt Petar Pavlović Fetisov. Fetisov se od 1920. godine nalazio u emigraciji u Zagrebu, gdje je na Arhitektonskom odjelu Tehničke visoke škole radio kao predavač. Pročelja zgrade oblikovana su u neoklasicističkom stilu. Ističu se dvokatni dorski polustupovi, a u krovnoj zoni alegorijske skulpture kipara Rudolfa Valdeca.",Janko Jambrišak; Ignjat Fischer,https://www.arhitektura-zagreba.com/zgrade/praska-1?ulica=trg-bana-jelacica,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Pra%C5%A1ka%201%20%201.1_1e29.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/praska%201%20%201.1_1e29.jpg,Unknown
zgrada-mirovinske-zaklade-gradske-stedionice-gajeva-2-2,Zgrada Mirovinske zaklade gradske štedionice,"Gajeva 2 / Trg bana Jelačića, 10000 Zagreb, Croatia",Gajeva 2 / Trg bana Jelačića,"Gajeva 2, 10000 Zagreb, Croatia","[{""raw"":""Gajeva 2"",""normalized"":""Gajeva 2, 10000 Zagreb, Croatia"",""street"":""Gajeva"",""house_number"":""2""},{""raw"":""Trg bana Jelačića"",""normalized"":""Trg bana Jelačića, 10000 Zagreb, Croatia"",""street"":""Trg bana Jelačića"",""house_number"":""""}]","Zgrada Mirovinske zaklade gradske štedionice na uglu Gajeva 2 /Trg bana Jelačića sagrađena je 1934. prema projektu Huga Ehrlicha. Ehrlich je dobio izvedbu na temelju natječaja, nakon što je nekad jedinstveni blok Zakladne bolnice bio rasparceliran. Način na koji je Ehrlich riješio zadatak doista je smion i moderan. Na toj je zgradi armiranobetonska konstrukcija omogućila kontinuirane pojaseve prozor koji teku cijelom širinom pročelja, dok je prizemni dio izbačen i prema ulici zatvoren transparentnom staklenom opnom, čime je postignuta potpuna inverzija klasične građevne tektonike. Po jasnoći osnovne dispozicije, suvremenom senzibilitetu i dorađenosti detalja, ta Ehrlichova građevina ide nesumnjivo među klasična ostvarenja naše međuratne arhitekture i čini, ne samo vremenski nego i sadržajno, zaključak njegova stvaralačkog puta. (Žarko Domljan -1, 1976:55)",Hugo Ehrlich,https://www.arhitektura-zagreba.com/zgrade/gajeva-2?ulica=trg-bana-jelacica,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photos/Gajeva_2__22.JPG,https://storage.googleapis.com/arhitektura-zagr-1514718358225.appspot.com/photo_thumbs/gajeva_2__22.jpg,Unknown
